Line,GEBV_biomassfinalplant,GEBV_biomassfinalplot,GEBV_fruitlength,GEBV_fruitno,GEBV_fruitshapeindex,GEBV_fruitweight,GEBV_fruitwidth,GEBV_leafangledaily,GEBV_leafareadaily,GEBV_leafareadailyplant,GEBV_leafareaprojecteddaily,GEBV_leafareaprojectedplant,GEBV_yield
GPC01024,-21666.59479,-77936232.84,-4.67806981,42.21182745,-1.531771171,-15.02123965,-0.639551307,0.024290353,-388.868853,-76.2740499,41.79992972,6.159712047,-2.413395186
GPC01025,-14706.67469,-56459335.17,1.625419237,-4.083966683,0.613527878,-10.81719366,-0.387043625,-0.008316812,-977.8077573,-184.1010959,-494.8984949,-119.1336522,-1.599277836
GPC01026,-14716.95536,-55120500.21,1.063208172,-0.370306803,-0.215523624,-7.278760615,-0.05301663,-0.010375495,-1040.367961,-213.5456212,-585.3300222,-146.0507909,-1.245443298
GPC01027,-15470.29583,-66256743.29,-5.355124608,100.9639416,-1.862859195,-13.99974619,-0.94537596,-0.001029027,907.3222857,319.952373,565.6740309,191.5174774,-3.116814811
GPC01028,-18904.57947,-78221685.14,-4.015235913,90.62967369,-1.372184706,-15.79827176,-0.94117175,0.010292179,332.8537688,189.2311305,266.178425,113.7427262,-2.960302043
GPC01029,-7387.975763,-24851286.93,0.164406696,-18.1517157,-0.74970092,7.489730585,0.575697865,-0.008202014,-748.3073815,-153.7724488,-394.2303298,-105.9159254,-0.733707237
GPC01030,-10577.39286,-40134644.78,-3.523207031,45.38075072,-0.813599145,-2.909601024,-0.324085467,0.010693275,-145.7925788,31.88078585,-59.05552767,2.834339026,-2.741901742
GPC01031,-25312.76365,-91278141.51,-6.7484953,85.23050797,-1.806582985,-25.29640063,-1.343793728,-0.018894907,-431.6665068,-71.80965857,-166.4260294,-43.35294701,-3.89037921
GPC01032,-3051.545539,-8237293.734,-0.97017229,16.27083819,1.425554573,-19.75489451,-1.449627145,0.033719484,570.7800731,166.2574531,453.0040012,118.6153444,-4.226356718
GPC01033,-1885.441172,-1785739.954,-0.78248992,15.74600096,1.573387191,-19.50692229,-1.433611047,0.036206974,665.9447175,181.2714879,529.945974,133.8911296,-4.094497243
GPC01034,-8623.8209,-31140982.2,-0.891929321,8.461483691,1.69926245,-17.75508793,-1.289983451,0.029278344,194.9137348,72.88666732,251.8286905,72.54752428,-4.930555214
GPC01035,-32640.07397,-119357681,-4.20053418,94.85677834,0.058034086,-22.6001847,-1.742304098,0.01070248,353.2449892,98.21455087,78.2314424,17.01161044,-4.747409331
GPC01036,-28068.73806,-110308864.2,-0.567271029,-38.8019398,-1.673563515,38.69225389,2.721268977,-0.035624201,-1637.896014,-353.2552923,-911.8599691,-219.374793,0.314900776
GPC01037,-25086.75473,-94101803.35,-5.062149943,96.7256309,-1.330461303,-21.72782773,-1.585236581,-0.009070006,194.9699501,117.6819782,142.0691436,48.77901393,-4.582279988
GPC01038,-21813.11039,-83795657.59,2.025977905,-5.342118965,-0.292106726,11.05531943,0.925057785,-0.010863806,-1341.338275,-317.515668,-725.1292972,-176.0526544,0.508663042
GPC01039,-25707.24688,-98942287.82,2.270518783,-10.02394525,-0.273599566,9.936424412,0.861690381,-0.012965423,-1574.573541,-370.5760133,-843.3697974,-204.8081516,0.539464195
GPC01040,-28242.0399,-105666004.5,1.604046915,0.783556971,0.181875687,12.97610338,0.790458709,-0.015335795,-1801.577876,-408.6153952,-1025.220214,-251.9046119,-0.852926258
GPC01041,-19515.17605,-81762011.77,1.687885348,-18.78989937,-1.130150243,21.99267992,1.556981611,-0.020248747,-1286.471095,-302.6224939,-700.5319641,-149.239759,1.023667718
GPC01042,-25606.40848,-93070116.5,4.258678642,-3.089133785,1.499369884,10.38690768,0.390307957,-0.014774419,-1551.450838,-382.1919161,-870.973415,-222.3370428,-0.06428437
GPC01043,-33020.9559,-121328349.7,5.996325153,3.052124714,3.16336718,4.787386568,-0.090152469,-0.022852845,-1821.48941,-429.9422112,-1024.842349,-266.9901727,-0.281052929
GPC01044,-26812.51174,-96358328.06,3.932639679,-6.093801463,1.305684417,6.374087217,0.231523058,-0.017005949,-1558.618109,-393.5744639,-854.7889535,-219.9645552,-0.305833224
GPC01045,-24616.59333,-90916254.99,-1.08141547,18.17651067,-0.716883462,8.467590212,0.668202694,-0.020188664,-992.8553822,-233.7418806,-493.7870882,-122.4646306,-1.189814991
GPC01047,-17559.86966,-59006551.05,1.931569421,-21.36420034,-1.42713431,25.66037775,1.651729504,-0.012595228,-1052.885788,-280.1782855,-662.0351023,-181.0349545,1.492945964
GPC01048,-22605.11432,-83822855.18,-3.133871348,9.414291662,-0.934281923,-7.898335799,-0.117973058,7.00E-04,-1080.179913,-249.7917515,-461.4603371,-120.5816764,-2.534548163
GPC01049,-23178.66812,-82638165.79,-1.328745678,-16.89310129,-1.563286103,17.72607679,1.97476733,-0.013879247,-1172.37176,-308.5539411,-663.5109933,-170.8292463,-0.063339801
GPC01050,-22377.87801,-79399572.05,3.29641413,-5.543694219,0.151823224,14.93661432,0.787167306,-0.012899503,-1281.478427,-329.8766254,-707.2476407,-188.6231706,0.670505695
GPC01051,-22092.30999,-83107686.07,3.643536949,-11.9433953,0.802857003,12.51058199,0.7005613,-0.016844822,-1510.649308,-356.3673813,-852.5006738,-212.6764338,0.161466012
GPC01052,-31706.99171,-116622238.9,-1.789274379,-18.49169761,-1.779089887,23.59664089,2.107488738,-0.03339494,-1963.17898,-464.2423838,-1085.08848,-276.3752082,-0.763241069
GPC01053,-23549.98142,-86048211.77,-0.76502097,15.11607389,-0.532921179,6.516778727,0.540770963,-0.025135725,-1053.41999,-245.013202,-578.5989005,-142.853228,-1.443847692
GPC01054,-23105.69557,-86251780.15,3.905254326,-14.72778002,0.006835695,20.75623028,1.038683407,-0.019529316,-1467.439808,-353.8488435,-920.6910134,-232.0220975,1.420126668
